station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
VLS;01.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;1.2;;;;;;;;;;;;;;
VLS;02.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;5.2;;;;;;;;;;;;;;
VLS;03.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;4.3;;;;;;;;;;;;;;
VLS;04.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;
VLS;05.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;5.8;;;;;;;;;;;;;;
VLS;06.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;21.5;;;;;;;;;;;;;;
VLS;07.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;9.8;;;;;;;;;;;;;;
VLS;08.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;
VLS;09.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
VLS;10.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;11.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;12.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;13.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;5.6;;;;;;;;;;;;;;
VLS;14.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;
VLS;15.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;
VLS;16.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;17.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;2.3;;;;;;;;;;;;;;
VLS;18.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
VLS;19.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;16.8;;;;;;;;;;;;;;
VLS;20.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;19.9;;;;;;;;;;;;;;
VLS;21.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
VLS;22.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;4.2;;;;;;;;;;;;;;
VLS;23.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;1.6;;;;;;;;;;;;;;
VLS;24.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;
VLS;25.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;1.8;;;;;;;;;;;;;;
VLS;26.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;1.8;;;;;;;;;;;;;;
VLS;27.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;28.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.9;;;;;;;;;;;;;;
VLS;29.02.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;01.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;
VLS;02.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;4.8;;;;;;;;;;;;;;
VLS;03.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;
VLS;04.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
VLS;05.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;06.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;07.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;08.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;09.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
VLS;10.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;4.6;;;;;;;;;;;;;;
VLS;11.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;1.4;;;;;;;;;;;;;;
VLS;12.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;13.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;14.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;
VLS;15.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;16.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;2.2;;;;;;;;;;;;;;
VLS;17.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;18.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;19.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;20.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;21.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;22.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;23.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;24.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;25.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;26.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;27.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
VLS;28.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;12.7;;;;;;;;;;;;;;
VLS;29.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;
VLS;30.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;31.03.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;01.04.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;02.04.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;03.04.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;04.04.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;05.04.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;06.04.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VLS;07.04.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
